"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796930092192739720","Sat Jun 01 15:58:03 +0000 2024","0","@wctoo HAH? KOK SUDDENLY????","1796934241592442928","","","in","shine","0","1","0","https://x.com/httpsjwonwoo/status/1796934241592442928","1514173806176210944","httpsjwonwoo"
"1796830830180049372","Sat Jun 01 15:57:43 +0000 2024","1","@thegreatestlees liat aja","1796934156833935654","","","in","","0","0","0","https://x.com/PR0VOKASI/status/1796934156833935654","1331051445760585728","PR0VOKASI"
"1796926464170004638","Sat Jun 01 15:57:33 +0000 2024","0","@taesanbadut telat","1796934114966458735","","","in","carteum ","0","0","0","https://x.com/podooongie/status/1796934114966458735","1434555458505744385","podooongie"
"1796933652804517974","Sat Jun 01 15:55:42 +0000 2024","0","TIBA2 JAM SEGINI. mau tidur dulu semoga bangun ","1796933652804517974","","","in","","0","1","0","https://x.com/camevinga/status/1796933652804517974","1076856900216451075","camevinga"
"1796933275052908992","Sat Jun 01 15:54:12 +0000 2024","1","Pernyataan Tegas Presiden Jokowi Kecam Serangan Israel ke Rafah https://t.co/yW2Zrvr5zx","1796933275052908992","","","in","Indonesia","0","0","0","https://x.com/KompasTV/status/1796933275052908992","71436318","KompasTV"
"1796933233000812808","Sat Jun 01 15:54:02 +0000 2024","0","SEMANGAT ️‍️‍ ALL EYES ON RAFAH","1796933233000812808","","","in","","0","0","0","https://x.com/aesha_nad/status/1796933233000812808","1618044499003052035","aesha_nad"
"1796926464170004638","Sat Jun 01 15:53:48 +0000 2024","0","@taesanbadut keren ganti cepet","1796933172984529320","","taesanbadut","in","carteum ","0","1","0","https://x.com/podooongie/status/1796933172984529320","1434555458505744385","podooongie"
"1796925153664008506","Sat Jun 01 15:53:27 +0000 2024","0","@dokyeomdearest baiklaahhh","1796933084639895654","","dokyeomdearest","in","carteum ","0","0","0","https://x.com/podooongie/status/1796933084639895654","1434555458505744385","podooongie"
"1796933041853771932","Sat Jun 01 15:53:17 +0000 2024","0","tergantung previewnya wakaka kalo semisal bakal turun nunggu redi kalo bakal naik ikut po","1796933041853771932","","","in","","0","0","0","https://x.com/fallyujiminie/status/1796933041853771932","1680201711821160448","fallyujiminie"
"1796933007661736318","Sat Jun 01 15:53:09 +0000 2024","0","lah kocak abis post sg all eyes on rafah langsung upload makan mcd loll fomo lu nyet","1796933007661736318","","","in","Boston, MA","0","0","0","https://x.com/oceaas/status/1796933007661736318","878322364177465344","oceaas"
